Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.3628277850317287
100% Corpus,2,0.9099999999999999,symmetric,0.35630858744422217
100% Corpus,2,symmetric,0.01,0.3577639737092637
100% Corpus,2,symmetric,0.31,0.36380840377348445
100% Corpus,2,symmetric,0.61,0.35877359343897103
100% Corpus,2,symmetric,0.9099999999999999,0.3536510223157202
100% Corpus,2,symmetric,symmetric,0.3527822508910461
100% Corpus,2,asymmetric,0.01,0.37884321263320886
100% Corpus,2,asymmetric,0.31,0.38542019273628914
100% Corpus,2,asymmetric,0.61,0.37497562813309515
100% Corpus,2,asymmetric,0.9099999999999999,0.353023502858578
100% Corpus,2,asymmetric,symmetric,0.38019771725036555
100% Corpus,3,0.01,0.01,0.36412531015021915
100% Corpus,3,0.01,0.31,0.3550814600844858
100% Corpus,3,0.01,0.61,0.36430128632900544
100% Corpus,3,0.01,0.9099999999999999,0.37576717322093817
100% Corpus,3,0.01,symmetric,0.351300371648892
100% Corpus,3,0.31,0.01,0.35469274728241684
100% Corpus,3,0.31,0.31,0.35349224494500486
100% Corpus,3,0.31,0.61,0.3617950045651934
100% Corpus,3,0.31,0.9099999999999999,0.36511654662235843
100% Corpus,3,0.31,symmetric,0.36869116698965265
100% Corpus,3,0.61,0.01,0.35327930054995366
100% Corpus,3,0.61,0.31,0.3450491814721505
100% Corpus,3,0.61,0.61,0.3544433816910386
100% Corpus,3,0.61,0.9099999999999999,0.35432868347280677
100% Corpus,3,0.61,symmetric,0.3563501160168308
100% Corpus,3,0.9099999999999999,0.01,0.34823393269607955
100% Corpus,3,0.9099999999999999,0.31,0.3511874918426645
100% Corpus,3,0.9099999999999999,0.61,0.35885175286845655
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3466557627846592
100% Corpus,3,0.9099999999999999,symmetric,0.3511874918426645
100% Corpus,3,symmetric,0.01,0.36412553015873383
100% Corpus,3,symmetric,0.31,0.3602805472873849
100% Corpus,3,symmetric,0.61,0.35982520166348636
100% Corpus,3,symmetric,0.9099999999999999,0.3691545990117934
100% Corpus,3,symmetric,symmetric,0.35546382777383195
100% Corpus,3,asymmetric,0.01,0.3526668628160694
100% Corpus,3,asymmetric,0.31,0.38537236747948594
100% Corpus,3,asymmetric,0.61,0.45162227005969185
100% Corpus,3,asymmetric,0.9099999999999999,0.42997141366282593
100% Corpus,3,asymmetric,symmetric,0.3551855593578091
100% Corpus,4,0.01,0.01,0.36027653767625
100% Corpus,4,0.01,0.31,0.3569623839233804
100% Corpus,4,0.01,0.61,0.3477770130456619
100% Corpus,4,0.01,0.9099999999999999,0.3525985737402285
100% Corpus,4,0.01,symmetric,0.3562414994879851
100% Corpus,4,0.31,0.01,0.36908298941490303
100% Corpus,4,0.31,0.31,0.356448782882111
100% Corpus,4,0.31,0.61,0.35513035657501757
100% Corpus,4,0.31,0.9099999999999999,0.3606114646095452
100% Corpus,4,0.31,symmetric,0.3514464760368421
100% Corpus,4,0.61,0.01,0.3689505173534616
100% Corpus,4,0.61,0.31,0.36117724291820497
100% Corpus,4,0.61,0.61,0.36673041646802673
100% Corpus,4,0.61,0.9099999999999999,0.3780686705614603
100% Corpus,4,0.61,symmetric,0.3678622490074207
100% Corpus,4,0.9099999999999999,0.01,0.37677266073525656
100% Corpus,4,0.9099999999999999,0.31,0.36412528359016183
100% Corpus,4,0.9099999999999999,0.61,0.36698449628520136
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.36137113888021233
100% Corpus,4,0.9099999999999999,symmetric,0.3609093012894343
100% Corpus,4,symmetric,0.01,0.3664799696435014
100% Corpus,4,symmetric,0.31,0.36218148085715657
100% Corpus,4,symmetric,0.61,0.36673041646802673
100% Corpus,4,symmetric,0.9099999999999999,0.36298706923056623
100% Corpus,4,symmetric,symmetric,0.35164631895610654
100% Corpus,4,asymmetric,0.01,0.32840111294094904
100% Corpus,4,asymmetric,0.31,0.36139275281567956
100% Corpus,4,asymmetric,0.61,0.4026918815204902
100% Corpus,4,asymmetric,0.9099999999999999,0.4181130567917145
100% Corpus,4,asymmetric,symmetric,0.35572653004656235
100% Corpus,5,0.01,0.01,0.40544694565321804
100% Corpus,5,0.01,0.31,0.3535321449904233
100% Corpus,5,0.01,0.61,0.3607205194838202
100% Corpus,5,0.01,0.9099999999999999,0.3730766857527613
100% Corpus,5,0.01,symmetric,0.3835309378657216
100% Corpus,5,0.31,0.01,0.4128099073045693
100% Corpus,5,0.31,0.31,0.39971645355563984
100% Corpus,5,0.31,0.61,0.33582611782823096
100% Corpus,5,0.31,0.9099999999999999,0.37992420474203437
100% Corpus,5,0.31,symmetric,0.4070027531660694
100% Corpus,5,0.61,0.01,0.41944474594692843
100% Corpus,5,0.61,0.31,0.4266243190203968
100% Corpus,5,0.61,0.61,0.43821750394034975
100% Corpus,5,0.61,0.9099999999999999,0.3669151922430179
100% Corpus,5,0.61,symmetric,0.4181841595122025
100% Corpus,5,0.9099999999999999,0.01,0.4297948956558885
100% Corpus,5,0.9099999999999999,0.31,0.42963542195299914
100% Corpus,5,0.9099999999999999,0.61,0.4381101346609963
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4426311439344617
100% Corpus,5,0.9099999999999999,symmetric,0.4220031939980212
100% Corpus,5,symmetric,0.01,0.3994272489730647
100% Corpus,5,symmetric,0.31,0.36028703824760094
100% Corpus,5,symmetric,0.61,0.3440927001544693
100% Corpus,5,symmetric,0.9099999999999999,0.38366742752212624
100% Corpus,5,symmetric,symmetric,0.40366341853523
100% Corpus,5,asymmetric,0.01,0.38466192858949755
100% Corpus,5,asymmetric,0.31,0.3940277989990113
100% Corpus,5,asymmetric,0.61,0.42929846191282844
