Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.27514583585320757
75% Corpus,2,0.01,0.31,0.2649116491235057
75% Corpus,2,0.01,0.61,0.2649116491235057
75% Corpus,2,0.01,0.9099999999999999,0.269385962748697
75% Corpus,2,0.01,symmetric,0.2649116491235057
75% Corpus,2,0.31,0.01,0.2728060664734924
75% Corpus,2,0.31,0.31,0.2649116491235057
75% Corpus,2,0.31,0.61,0.269385962748697
75% Corpus,2,0.31,0.9099999999999999,0.2649116491235057
75% Corpus,2,0.31,symmetric,0.2649116491235057
75% Corpus,2,0.61,0.01,0.2728060664734924
75% Corpus,2,0.61,0.31,0.2649116491235057
75% Corpus,2,0.61,0.61,0.2649116491235057
75% Corpus,2,0.61,0.9099999999999999,0.2619881654943236
75% Corpus,2,0.61,symmetric,0.2649116491235057
75% Corpus,2,0.9099999999999999,0.01,0.2751458358532075
75% Corpus,2,0.9099999999999999,0.31,0.2649116491235057
75% Corpus,2,0.9099999999999999,0.61,0.2649116491235057
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.2649116491235057
75% Corpus,2,0.9099999999999999,symmetric,0.2649116491235057
75% Corpus,2,symmetric,0.01,0.269385962748697
75% Corpus,2,symmetric,0.31,0.2649116491235057
75% Corpus,2,symmetric,0.61,0.2649116491235057
75% Corpus,2,symmetric,0.9099999999999999,0.2649116491235057
75% Corpus,2,symmetric,symmetric,0.2649116491235057
75% Corpus,2,asymmetric,0.01,0.2728060664734924
75% Corpus,2,asymmetric,0.31,0.2649116491235057
75% Corpus,2,asymmetric,0.61,0.2649116491235057
75% Corpus,2,asymmetric,0.9099999999999999,0.2649116491235057
75% Corpus,2,asymmetric,symmetric,0.2649116491235057
75% Corpus,3,0.01,0.01,0.26778890903068125
75% Corpus,3,0.01,0.31,0.2777656470836627
75% Corpus,3,0.01,0.61,0.2701509382574242
75% Corpus,3,0.01,0.9099999999999999,0.26476910664511083
75% Corpus,3,0.01,symmetric,0.2738705808193201
75% Corpus,3,0.31,0.01,0.2754804353969503
75% Corpus,3,0.31,0.31,0.2733739200776793
75% Corpus,3,0.31,0.61,0.27724868015339804
75% Corpus,3,0.31,0.9099999999999999,0.2690473510763657
75% Corpus,3,0.31,symmetric,0.27724868015339804
75% Corpus,3,0.61,0.01,0.27908533948154995
75% Corpus,3,0.61,0.31,0.27479834224135663
75% Corpus,3,0.61,0.61,0.26476910664511083
75% Corpus,3,0.61,0.9099999999999999,0.267951246610934
75% Corpus,3,0.61,symmetric,0.2803756669815585
75% Corpus,3,0.9099999999999999,0.01,0.27908533948154995
75% Corpus,3,0.9099999999999999,0.31,0.2797996583594012
75% Corpus,3,0.9099999999999999,0.61,0.2733739200776793
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.2664554840783803
75% Corpus,3,0.9099999999999999,symmetric,0.2797996583594012
75% Corpus,3,symmetric,0.01,0.2680943067921153
75% Corpus,3,symmetric,0.31,0.27724868015339804
75% Corpus,3,symmetric,0.61,0.27724868015339804
75% Corpus,3,symmetric,0.9099999999999999,0.26346089507491427
75% Corpus,3,symmetric,symmetric,0.27724868015339804
75% Corpus,3,asymmetric,0.01,0.2667608818398144
75% Corpus,3,asymmetric,0.31,0.26340278442446513
75% Corpus,3,asymmetric,0.61,0.25993113209397095
75% Corpus,3,asymmetric,0.9099999999999999,0.25993113209397095
75% Corpus,3,asymmetric,symmetric,0.2599311320939709
75% Corpus,4,0.01,0.01,0.2695230806630793
75% Corpus,4,0.01,0.31,0.2731171517156956
75% Corpus,4,0.01,0.61,0.269085706147309
75% Corpus,4,0.01,0.9099999999999999,0.3059981383338243
75% Corpus,4,0.01,symmetric,0.27590195083652
75% Corpus,4,0.31,0.01,0.27541382806533815
75% Corpus,4,0.31,0.31,0.27327311316512987
75% Corpus,4,0.31,0.61,0.27044073889380627
75% Corpus,4,0.31,0.9099999999999999,0.2879276543960208
75% Corpus,4,0.31,symmetric,0.27396893423165725
75% Corpus,4,0.61,0.01,0.27541382806533815
75% Corpus,4,0.61,0.31,0.27786177966145625
75% Corpus,4,0.61,0.61,0.26692419121383615
75% Corpus,4,0.61,0.9099999999999999,0.2847566952157745
75% Corpus,4,0.61,symmetric,0.27440618292948066
75% Corpus,4,0.9099999999999999,0.01,0.2750069526874859
75% Corpus,4,0.9099999999999999,0.31,0.27255332216434486
75% Corpus,4,0.9099999999999999,0.61,0.269085706147309
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.27380954398777446
75% Corpus,4,0.9099999999999999,symmetric,0.27396893423165725
75% Corpus,4,symmetric,0.01,0.27304108612765965
75% Corpus,4,symmetric,0.31,0.2767287098971054
75% Corpus,4,symmetric,0.61,0.27090806163172365
75% Corpus,4,symmetric,0.9099999999999999,0.2847566952157745
75% Corpus,4,symmetric,symmetric,0.27103981640508473
75% Corpus,4,asymmetric,0.01,0.27362777747320144
75% Corpus,4,asymmetric,0.31,0.26370989643398096
75% Corpus,4,asymmetric,0.61,0.25699031868107836
75% Corpus,4,asymmetric,0.9099999999999999,0.2630176951351024
75% Corpus,4,asymmetric,symmetric,0.26108105876259086
75% Corpus,5,0.01,0.01,0.28144909290991765
75% Corpus,5,0.01,0.31,0.2551936910380964
75% Corpus,5,0.01,0.61,0.2564249751464423
75% Corpus,5,0.01,0.9099999999999999,0.2881160228919793
75% Corpus,5,0.01,symmetric,0.26299481507344125
75% Corpus,5,0.31,0.01,0.27816824440825927
75% Corpus,5,0.31,0.31,0.2635006913579494
75% Corpus,5,0.31,0.61,0.26100935333449843
75% Corpus,5,0.31,0.9099999999999999,0.2626589665558154
75% Corpus,5,0.31,symmetric,0.263847774639899
75% Corpus,5,0.61,0.01,0.27023568172998275
75% Corpus,5,0.61,0.31,0.2617263532474662
75% Corpus,5,0.61,0.61,0.25364638767588665
75% Corpus,5,0.61,0.9099999999999999,0.2616197759632657
75% Corpus,5,0.61,symmetric,0.26056520664348004
75% Corpus,5,0.9099999999999999,0.01,0.26793069236686884
75% Corpus,5,0.9099999999999999,0.31,0.2618270139334584
75% Corpus,5,0.9099999999999999,0.61,0.26914902636809734
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.2483700643989696
75% Corpus,5,0.9099999999999999,symmetric,0.2591475430281442
75% Corpus,5,symmetric,0.01,0.28033393405430157
75% Corpus,5,symmetric,0.31,0.2595313269650378
75% Corpus,5,symmetric,0.61,0.2591667313251878
75% Corpus,5,symmetric,0.9099999999999999,0.3149533670293724
75% Corpus,5,symmetric,symmetric,0.2596901339852488
75% Corpus,5,asymmetric,0.01,0.2812267764117412
75% Corpus,5,asymmetric,0.31,0.26021800792812017
75% Corpus,5,asymmetric,0.61,0.24871192171034234
75% Corpus,5,asymmetric,0.9099999999999999,0.25206846052447385
75% Corpus,5,asymmetric,symmetric,0.2505253747496444
75% Corpus,6,0.01,0.01,0.28215819770625533
75% Corpus,6,0.01,0.31,0.2589028991521245
75% Corpus,6,0.01,0.61,0.2748178148337927
75% Corpus,6,0.01,0.9099999999999999,0.31852418747506744
75% Corpus,6,0.01,symmetric,0.2532424158249445
75% Corpus,6,0.31,0.01,0.2785132299511719
75% Corpus,6,0.31,0.31,0.2470568877662762
75% Corpus,6,0.31,0.61,0.27822870705976477
75% Corpus,6,0.31,0.9099999999999999,0.3104486837091697
75% Corpus,6,0.31,symmetric,0.2501297695852281
75% Corpus,6,0.61,0.01,0.2753802878551438
75% Corpus,6,0.61,0.31,0.26574231159970263
75% Corpus,6,0.61,0.61,0.2757961113055043
75% Corpus,6,0.61,0.9099999999999999,0.2832011585531728
75% Corpus,6,0.61,symmetric,0.24526834381325888
75% Corpus,6,0.9099999999999999,0.01,0.272386631978546
75% Corpus,6,0.9099999999999999,0.31,0.2543048192335027
75% Corpus,6,0.9099999999999999,0.61,0.2658035123009686
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.2527654454078736
75% Corpus,6,0.9099999999999999,symmetric,0.26151320159203223
75% Corpus,6,symmetric,0.01,0.2825233447528594
75% Corpus,6,symmetric,0.31,0.2522021531294614
75% Corpus,6,symmetric,0.61,0.27800153851322124
75% Corpus,6,symmetric,0.9099999999999999,0.2746407800269772
75% Corpus,6,symmetric,symmetric,0.24510283799356444
75% Corpus,6,asymmetric,0.01,0.27362400506129264
75% Corpus,6,asymmetric,0.31,0.2615325894939309
75% Corpus,6,asymmetric,0.61,0.26348074034673097
75% Corpus,6,asymmetric,0.9099999999999999,0.265085730729012
75% Corpus,6,asymmetric,symmetric,0.25608774434898934
75% Corpus,7,0.01,0.01,0.28365407320752506
75% Corpus,7,0.01,0.31,0.27397808437038973
75% Corpus,7,0.01,0.61,0.28535949202067845
75% Corpus,7,0.01,0.9099999999999999,0.2550323749237084
75% Corpus,7,0.01,symmetric,0.26208949610553217
75% Corpus,7,0.31,0.01,0.2758361470115254
75% Corpus,7,0.31,0.31,0.25711864369376297
75% Corpus,7,0.31,0.61,0.2802557429430891
75% Corpus,7,0.31,0.9099999999999999,0.2824623570168398
75% Corpus,7,0.31,symmetric,0.244920174699333
75% Corpus,7,0.61,0.01,0.27242557693305836
75% Corpus,7,0.61,0.31,0.2483912158840775
75% Corpus,7,0.61,0.61,0.2728028489483267
75% Corpus,7,0.61,0.9099999999999999,0.2813165308421068
75% Corpus,7,0.61,symmetric,0.2541674358688196
75% Corpus,7,0.9099999999999999,0.01,0.2768341314714638
75% Corpus,7,0.9099999999999999,0.31,0.2560797637810922
75% Corpus,7,0.9099999999999999,0.61,0.2555913646994857
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.2615199565554767
75% Corpus,7,0.9099999999999999,symmetric,0.2530387539912147
75% Corpus,7,symmetric,0.01,0.2795044145838706
75% Corpus,7,symmetric,0.31,0.25131635069373426
75% Corpus,7,symmetric,0.61,0.2702695849752977
75% Corpus,7,symmetric,0.9099999999999999,0.28093110299597174
75% Corpus,7,symmetric,symmetric,0.2663174397345146
75% Corpus,7,asymmetric,0.01,0.2752772553927223
75% Corpus,7,asymmetric,0.31,0.2633761992353687
75% Corpus,7,asymmetric,0.61,0.2911456300721693
75% Corpus,7,asymmetric,0.9099999999999999,0.2750363775713554
75% Corpus,7,asymmetric,symmetric,0.24936352284277508
